id,label,user_id,degree_centrality,in_degree,out_degree,betweenness_centrality,closeness_centrality,pagerank,clustering_coefficient,eigenvector_centrality
223,brunnerh,834235,0.00033003300330033004,3,1,5.446988006277109e-08,0.00016501650165016502,0.0003189216395685986,0.16666666666666666,0.0064960723638084064
224,FijiAura,177214233,0.00016501650165016502,2,0,0.0,0.0,0.0003926253877017026,1.0,0.0039274454861955
225,ghost,10137,0.010313531353135313,81,44,0.009740866326812992,0.2791614834938299,0.005815294158229239,0.027823691460055096,0.10704634842969042
226,alok059,161014476,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
227,MeowGurl,232375353,0.00033003300330033004,4,0,0.0,0.0,0.00029700792817827633,0.0,0.0038976434182850443
228,saltymango2619,68480064,0.0007425742574257426,9,0,0.0,0.0,0.0007755517181393162,0.0,0.0038976434182850443
229,wasdhjklxyz,226608430,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
230,Jai-Sandhu-Mex,120269856,8.250825082508251e-05,1,0,0.0,0.0,0.000160452873267901,0.0,0.0
231,rahul-sahanii,200029134,8.250825082508251e-05,1,0,0.0,0.0,0.00012750412358418267,0.0,0.0064960723638084064
232,08vv,165104093,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
233,Sandesh-projects,140963976,0.0004950495049504951,6,0,0.0,0.0,0.00046160513948864424,0.06666666666666667,0.004088721447166289
